Sprint,Sprint Name,Story ID,Story,Description,Specific Acceptance,Modules,Dependencies
00,"Bootstrap, fundação e qualidade",FND-000,Repositório Git remoto e governança,"Coletar os dados mínimos, criar ou vincular com segurança o repositório remoto, inicializar Git e publicar o commit de bootstrap.","Remote `origin`, branch `main`, visibilidade, licença e proprietário correspondem à decisão do usuário; nenhum segredo é versionado; não há force-push nem sobrescrita de histórico.","platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-001,Projetos iniciais e estrutura modular,"Gerar o backend Spring Modulith e o frontend Angular feature-first reais, com fronteiras verificáveis e scripts de execução.","Backend e frontend são projetos executáveis, não apenas exemplos; Spring Modulith/ESLint reprovam dependência proibida; build completo fica verde.","platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-002,Ambiente local,Disponibilizar PostgreSQL e adapter local de arquivos.,Subida documentada; health checks aprovados; filesystem é restrito a dev; nenhum segredo versionado.,"platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-003,Pipeline CI,"Executar build, lint, unitários, integração, migrations e contrato.",Falha em qualquer gate bloqueia merge; cache não mascara teste.,"platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-004,Contrato de erros,Implementar Problem Details RFC 9457 com código e traceId.,"Validação, conflito, não autorizado e erro interno possuem exemplos seguros.","platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-005,Auditoria e observabilidade base,"Criar trace, log estruturado, audit port e métricas.",Comando crítico gera auditoria; log não contém token ou payload sensível.,"platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-006,Baseline de versões,"Fixar Java 25 LTS, Boot 4.1, Modulith 2.1, Maven 3.9.16, PostgreSQL 18, Angular 22 e Node 24 LTS.",Wrappers/lockfile reproduzem a CI; nenhuma versão preview ou intervalo inseguro é usado.,"platform, shared mínimo, audit",Nenhuma
00,"Bootstrap, fundação e qualidade",FND-007,Validação reproduzível e encerramento,"Validar a entrega a partir de checkout limpo, atualizar evidências, criar o commit final e publicar a Sprint 00.","Clone/checkout limpo reproduz build, testes, migrations e subida local; CI remota fica verde; commits são enviados sem reescrever histórico; STATUS e aceite registram evidências reais.","platform, shared mínimo, audit",Nenhuma
01,"Segurança interna, cervejaria e acesso",BRW-001,Cadastrar cervejaria,"Criar dados, fuso, unidades e políticas iniciais.",Código é único; datas exibem fuso configurado; auditoria criada.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",BRW-002,Preferências operacionais,"Configurar unidades, moeda, limites e política de estoque.",Valor inválido é rejeitado; mudança não altera snapshots antigos.,"security, brewery",Sprint 00
